,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url
720,Челябинск,Флексайтс,,8 октября 2020," Web-студия Flexites ищет хорошего специалиста в области разработки и ведения интернет-проектов: Требуется обрабатывать входящие заявки на разработку и продвижение сайтов. Проводить презентации продукта, выявлять потребности клиента и писать КП. Вести проекты по разработке и продвижению сайтов и др. интернет-продуктов. Разбираться в основах SEO-оптимизации, настройке интернет-рекламы, продвижению в соцсетях. Вести клиента от первой заявки и сопровождать его по мере развития проекта. Условия: В течение 3-х месяцев Вы проходите обучение в нашей компании. Этот период является испытательным сроком, в который Ваш доход будет фиксированным и составлять 20 000 – 25 000 руб. в зависимости от результатов собеседования. Во время обучения Вы изучите продукты компании, получите опыт работы с текущими и новыми клиентами, опыт обработки лидов, научитесь составлять технические КП, а также пройдете специализированные курсы по контекстной рекламе и проектированию посадочных страниц. Начиная с 4-ого месяца Вы будете переведены на % от продаж (средний доход от 26 000 до 85 0000 – в зависимости от Ваших индивидуальных результатов). Общие требования: <ol> Ответственность: Вы полностью отвечаете за успешность сделки, ведете ее от первого контакта с клиентом до предоплаты. Коммуникабельность: Вы умеете находить общий язык с разными людьми, Вы терпеливы, Вы вежливы, Вы умеете слушать. Нацеленность на результат: для Вас главная цель – помочь клиенту решить его проблему. Умение убеждать: Вы можете понять точку зрения клиента и его мотивы и умеете сходу подобрать правильные аргументы. Аккуратность: Вы уделяете внимание мелочам. Стрессоустойчивость: Вы умеете работать под давлением клиентов, сроков и большого количества информации. Грамотность: речь, письмо. Желание учиться и развиваться. </ol> Специфические требования: <ol> Опыт общения с высшим руководством компаний - собственники, директора, управляющие. Понимание процессов веб-студии для планирования и формализации ТЗ (разработка сайтов от прототипирования до запуска, интеграции с различными сторонними сервисами и т.д.). Опыт b2b-продаж крупных продуктов, вашим преимуществом будет умение продаж в ИТ-сфере. Опыт написания продающих текстов – копирайтинг (желательно). Опыт создания интернет-кампаний в Яндекс.Директе и Google.Adwords (желательно). Приветствуется понимание основ программирования и вёрстки. </ol> Обязанности: <ol> Обработка входящих заявок (с сайта, по телефону), работа с возражениями. Проведение презентаций и консультаций по программным продуктам. Ведение деловой переписки, переговоров. Сбор первичных требований от клиентов и подготовка КП. Руководство командой специалистов на протяжении всего жизненного цикла проекта. Подготовка отчётов и встречи с клиентом по результатам проделанной работы. </ol> ",,1–3 года,"Менеджер проектов (разработка сайтов, интернет-маркетинг)",,85000.0,26000.0,полный день,"SEO,Управление проектами,Контекстная реклама,B2B Продажи,Деловое общение,Управление интернет-проектами,Internet Marketing",Полная занятость,https://tyumen.hh.ru/vacancy/39699246
295,Челябинск,Челябинский кузнечно-прессовый завод (ЧКПЗ),,2 октября 2020," Обязанности: поддержка и доработка типовых и нетиповых конфигураций на платформе 1С:Предприятие 8.3; организация взаимодействия с другими информационным системами. Требования: Знание механизмов интеграции (http, web сервисы, com, ole соединение), конфигурации «Конвертация данных» 2, 3 редакция. Знание основ механизмов БСП 2.4 Знание работы с расширениям конфигурации Знание основ мобильной разработки на платформе 1С Предприятие 8. Умение разрабатывать понятный и короткий код Опыт работы с торговым оборудованием (сканеры, термопринтеры, кассы, ТСД) Условия: Пятидневная рабочая неделя ( 8:00- 16:30) Работа на современном крупном промышленном предприятии; Своевременная и достойная оплата труда; Официальное трудоустройство в соответствии с ТК РФ; Развернутая программа социальных льгот, медицинского страхования и организации отдыха для работников. ","поддержка и доработка типовых и нетиповых конфигураций на платформе 1С:Предприятие 8.3;,организация взаимодействия с другими информационным системами.",3–6 лет,Middle Programmer 1C,"Знание механизмов интеграции (http, web сервисы, com, ole соединение), конфигурации «Конвертация данных» 2, 3 редакция.,Знание основ механизмов БСП 2.4,Знание работы с расширениям конфигурации,Знание основ мобильной разработки на платформе 1С Предприятие 8.,Умение разрабатывать понятный и короткий код,Опыт работы с торговым оборудованием (сканеры, термопринтеры, кассы, ТСД)",85000.0,60000.0,полный день,"1С: Документооборот,1С: Предприятие 8,1С: Розница,1С: Управление Торговлей,Мобильность",Полная занятость,https://tyumen.hh.ru/vacancy/39579771
77,Челябинск,Юнита,,8 октября 2020," В связи с увеличением потока заявок мы приглашаем Компьютерных мастеров. Почему стоит работать именно с нами: - Мы предлагаем услуги, которые сейчас пользуются широким спросом; - 3 – 5 заявок каждый рабочий день; - Условия для развития от мастера до руководителя филиала; - Стабильные выплаты заработной платы (для новичков – ежедневные выплаты); - Внутреннее обучение; - График 5/2 (скользящие выходные); - Официальное трудоустройство; - Оборудованный сервис; - З/п от 60.000. Плюсы работы в компании – Внутреннее обучение. Чем нужно занимается: - Выезжать к клиентам компании; - Диагностировать неисправности в работе компьютерной техники; - Ремонтировать, настраивать и модернизировать ПК и ноутбуки; - Настраивать Wi-Fi‚ подключать оргтехнику. - Умение устранять вирусы в компьютерах; - Настройка сетевого оборудования интернет, Wi-Fi, ADSL; - Знание комплектующих компьютерной техники. Что мы ждём от тебя: - Знания в области компьютеров‚ ноутбуков‚ комплектующих к ним; - Умение работать в команде; - Активность, ответственность; - Чистить от пыли, менять термоинтерфейс; - Знание операционной системы семейства Windows, MacOS, Linux; - Умение настраивать роутеры на работу с несколькими устройствами по Wi-Fi. ",,не требуется,Компьютерный мастер,,85000.0,65000.0,полный день,"Ремонт ПК,Настройка ПО,Настройка сетевых подключений,Настройка ПК,Linux,Windows Xp,LAN,Wifi networks,Windows 7,Сборка ПК,Mac Os,Администрирование,Windows Vista,MS Dos,Пользователь ПК,Windows Os,Умение работать в коллективе",Полная занятость,https://tyumen.hh.ru/vacancy/39700417
605,Челябинск,Ресурс Групп,,14 октября 2020," Для работы вахтовым методом требуются оператор станков с чпу. Трудоустройство по ТК РФ. Вахта 60/30 , по 11-ть часов, 6-ть дней в неделю. Проживание бесплатно (квартиры). Авансы 15 и 30 числа. Спецодежда предоставляется. Компенсация проезда. Токарно-карусельные станки 1А512Ф3, 1Е516МФ3 стойка НЦ 210-230. Опыт работы от 3-х лет, разряд от 5-го. ",,3–6 лет,Оператор станков с ЧПУ,,85000.0,80000.0,Вахтовый метод,"Пользователь ПК,Материальная ответственность",Полная занятость,https://tyumen.hh.ru/vacancy/39815820
576,Челябинск,Ресурс Групп,,14 октября 2020," Работа вахтой в Тульской области, на машиностроительном заводе Обязанности: Металлообработка на станках фрезерной группы, стойка FANUC Написание не сложных программ Требования: От 4 разряда опыт работы от 3х лет Условия: Вахта 60/30 Работа на вахте — 11-ти часовой рабочий день, 6-ти дневная рабочая неделя Трудоустройство официальное Квартиры предоставляем бесплатно Дорогу оплачиваем Своевременная оплата труда – 2 раза в месяц (перечисляется на банковскую карту) ","Металлообработка на станках фрезерной группы, стойка FANUC,Написание не сложных программ",3–6 лет,Наладчик станков с ЧПУ,,85000.0,85000.0,Вахтовый метод,"Грамотность,Ответственное хранение,MS Word",Полная занятость,https://tyumen.hh.ru/vacancy/39814680
798,Магнитогорск,Quick Resto,,15 октября 2020," Внимание! Конкурс на вакансию открыт до 29 Октября 2020. Компания Quick Resto Компания-разработчик программного обеспечения, запустившая в 2014 году инновационный продукт на консервативный рынок ресторанной автоматизации. Чуть конкретнее — разработчики и распространители облачного сервиса для управления заведениями общепита. На сегодняшний день нами автоматизировано более 5000 заведений и в связи с большим потоком входящих заявок, мы ищем активного, амбициозного сотрудника, который обладает высоким уровнем интеллекта, а также умеет слушать и слышать Клиента. Мы уважаем деньги и любим их зарабатывать, поэтому хотим, чтобы наши сотрудники получали высокую заработную плату. Что нужно любить, чтобы удержаться в нашем коллективе: зарабатывать деньги (не получать и ходить за получкой) обучаться общение с людьми работу в команде дисциплину Что нужно будет делать: Собственно, продавать. В основном по телефону, обрабатывая входящий поток заявок, однако возможны и командировки. Работать только с входящими заявками и теплой базой клиентов; Работать по скрипту (выявлять потребности Клиента и его боли); Готовить необходимые для сделки документы. Немного, но придется. Также придется вести CRM. На каких условиях мы будем работать: Заработная плата в 1,5 раза выше рынка; Среднемесячный доход уже в первый месяц работы от 40000 руб.; Выплаты, как швейцарские часы, два раза в месяц; Большое количество горячих заявок; Современный офис с новым ремонтом и новой техникой; Возможность удаленной работы из дома; Регулярные тренинги по самым передовым техникам продаж; Возможность карьерного роста; Общение с собственниками бизнеса с оборотом от 15 млн. рублей в год; Твердый продукт, который по-настоящему дает результат нашим Клиентам; Идеальная система ввода в должность с личным наставником; График 5/2 с 10:00 до 19:00. Особым преимуществом будет для вас опыт в продажах. И теперь, если Вы внимательно дочитали вакансию, и решили, что вы хотите работать с нами: Напишите в отклике: «Я хочу работать в команде Quick Resto!», а также напишите 3 причины, почему мы должны взять именно вас, среди прочих замечательных кандидатов. Так мы поймем, что вы внимательный и замотивированный на работу у нас человек. Внимание! Конкурс на вакансию открыт до 29 Октября 2020. ",,не требуется,Менеджер по продажам (Удаленно),,90000.0,40000.0,удаленная работа,"Активные продажи,Холодные продажи,CRM,Телефонные переговоры,Грамотная речь",Полная занятость,https://tyumen.hh.ru/vacancy/39839085
199,Челябинск,Digital Partners Global,"Полное соблюдение ТК РФ,Официальные зарплата и премии (выплата 2 раза в месяц),Премии по результатам работы,Работа над интересными, перспективными проектами,Молодой, продвинутый коллектив,Офис в бизнес центре класса А,График работы: полная занятость, 5 дней в неделю (понедельник-пятница),Заработная плата по результатам собеседования",14 октября 2020," Обязательные требования/опыт: Знание HTML, CSS и JavaScript Опыт работы с HTML5 Canvas API Умение синхронизировать работу различных частей кода Знание SVG Знание принципов ООП и их применение на практике Умение оптимизировать скорость работы сайта Мы в поисках людей, которые: Стремятся сделать работу качественно и с энтузиазмом относятся к своему делу Обладают высоким уровнем ответственности за свои результаты и за результаты команды Способны планировать время Следуют договоренностям Серьёзно относятся к дедлайнам Нацелены на развитие Умеют работать в команде Условия работы: Полное соблюдение ТК РФ Официальные зарплата и премии (выплата 2 раза в месяц) Премии по результатам работы Работа над интересными, перспективными проектами Молодой, продвинутый коллектив Офис в бизнес центре класса А График работы: полная занятость, 5 дней в неделю (понедельник-пятница) Заработная плата по результатам собеседования Отправляйте ваше резюме по адресу электронной почты, указанному в контактах. Удалённая работа по данной вакансии не рассматривается. ",,1–3 года,Web Developer / Разработчик,,90000.0,50000.0,полный день,"JavaScript,CSS3,jQuery,HTML5",Полная занятость,https://tyumen.hh.ru/vacancy/39398826
531,Челябинск,Интернет-агентство Dextra,"Оклад + % от оборота + бонусы.,Обучение и поддержка от профессионалов;,График работы 5/2;,Испытательный срок - 2 месяца.,Достойная заработная плата. Зарплата складываться из оклада, процентов от продаж, а также нашей внутренней бонусной программы для сотрудников;,Возможность выбрать удобный график работы: с 9 до 18 или с 8 до 17 или с 10 до 19.,Официальное оформление в соответствии с ТК РФ;,Социальные гарантии (отпуска, больничные);,Возможность карьерного роста, повышение квалификации и прохождения тренингов за счет компании;",29 сентября 2020," Примем на работу руководителя отдела продаж интернет-рекламы. Возможно, через стажировку. Требования : Законченное высшее образование; Опыт работы в аналогичной должности. Опыт ведения активных продаж и их организации. Умение четко ставить и контролировать показатели работы отдела. Понимание принципов работы инструментов интернет-маркетинга и аналитики. Приветствуется знание системы Битрикс24, средств интернет-рекламы, хорошая компьютерная грамотность. Вам предстоит: Обеспечивать и организовывать работу отдела продаж интернет-рекламы; Вникать в потребности заказчиков; Продумывать решения для удовлетворения потребностей заказчиков; Продумывать стратегии достижения заключения сделок; Заключать сделки; Контролировать работу с клиентом по основным реперным точкам с целью управления жизненным циклом клиента. Условия работы : Оклад + % от оборота + бонусы. Обучение и поддержка от профессионалов; График работы 5/2; Испытательный срок - 2 месяца. Достойная заработная плата. Зарплата складываться из оклада, процентов от продаж, а также нашей внутренней бонусной программы для сотрудников; Возможность выбрать удобный график работы: с 9 до 18 или с 8 до 17 или с 10 до 19. Официальное оформление в соответствии с ТК РФ; Социальные гарантии (отпуска, больничные); Возможность карьерного роста, повышение квалификации и прохождения тренингов за счет компании; ",,3–6 лет,Руководитель отдела продаж,"Законченное высшее образование;,Опыт работы в аналогичной должности.,Опыт ведения активных продаж и их организации.,Умение четко ставить и контролировать показатели работы отдела.,Понимание принципов работы инструментов интернет-маркетинга и аналитики.,Приветствуется знание системы Битрикс24, средств интернет-рекламы, хорошая компьютерная грамотность.",90000.0,50000.0,полный день,"B2B Продажи,Навыки продаж,Ведение переговоров,Прямые продажи,Проведение презентаций,Активные продажи,Развитие ключевых клиентов",Полная занятость,https://tyumen.hh.ru/vacancy/39516711
136,Магнитогорск,Магнитогорский металлургический комбинат,"корпоративное обучение;,регулярное повышение квалификации за счет работодателя;,официальное оформление по ТК РФ;,комфортные условия труда в современном офисе;,достойный уровень дохода, в зависимости от квалификации;,возможность профессионального и карьерного роста.",18 сентября 2020," Приглашаем специалистов в области проектного управления и информационных технологий для участия в проектах внедрения и оказания консультационных услуг в области инновационных технологий (Robotic Process Automation, ML, AI и т.п.). От кандидата требуется умение работать в команде, а также навыки организации работы команды в проектах по оказанию консультационных услуг, услуг внедрения инновационных технологии и прочих проектах. Основная обязанность - управление ИТ-проектами от планирования, до организации и сдачи в эксплуатацию. Обязанности: успешная реализация проектов ИТ, достижение результатов проекта; управление проектами (организационная часть, ресурсы, документооборот); непосредственное участие в проектах внедрения ИТ, проектах оказания услуг ИТ; организация взаимодействия команд разработчиков и консультантов; анализ основных бизнес-процессов организации (производства); разработка, корректировка и структурирование технических заданий, согласование с заказчиком; Требования: высшее образование в сфере информационных технологий, программирования, информатики или АСУ; опыт управления проектами; опыт анализа бизнес-процессов; опыт разработки технических заданий; знание общих принципов построения алгоритмов программного обеспечения; знание английского языка на уровне чтения технической и профильной документации. Условия: корпоративное обучение; регулярное повышение квалификации за счет работодателя; официальное оформление по ТК РФ; комфортные условия труда в современном офисе; достойный уровень дохода, в зависимости от квалификации; возможность профессионального и карьерного роста. Окончательный уровень заработной платы устанавливается по результатам собеседования в зависимости от опыта и квалификации. ","успешная реализация проектов ИТ, достижение результатов проекта;,управление проектами (организационная часть, ресурсы, документооборот);,непосредственное участие в проектах внедрения ИТ, проектах оказания услуг ИТ;,организация взаимодействия команд разработчиков и консультантов;,анализ основных бизнес-процессов организации (производства);,разработка, корректировка и структурирование технических заданий, согласование с заказчиком;",1–3 года,Руководитель ИТ-проектов (ММК-Информсервис),"высшее образование в сфере информационных технологий, программирования, информатики или АСУ;,опыт управления проектами;,опыт анализа бизнес-процессов;,опыт разработки технических заданий;,знание общих принципов построения алгоритмов программного обеспечения;,знание английского языка на уровне чтения технической и профильной документации.",90000.0,60000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39309818
162,Челябинск,"Варяг, Холдинг предприятий безопасности",,12 октября 2020," «ВАРЯГ» – современный, стремительно развивающийся холдинг предприятий, разрабатывающих инновационные решения в области безопасности и интернета вещей. Продуктами компании являются системы мониторинга и защиты имущества, инженерно-технические средства безопасности, услуги пультовой и физической охраны, а также образовательные услуги спецподготовки персонала. Пользователи продуктов и услуг под брендами компании - это более 25 000 клиентов на территории Уральского Федерального округа, от физических лиц и малого бизнеса до крупнейших федеральных и государственных компаний. В связи с развитием и ростом количества ИТ-проектов, приглашает на работу python-разработчика! Обязанности: разработка микросервисов с использованием фреймворков (flask, tornado); поддержание и доработка существующих микросервисов; написание документации (в том числе swagger); написание SQL-запросов, процедур для MySQL; работа с терминальными командами Ubuntu Server; обработка информации с IoT систем. Требования: опыт работы python программистом от 1 года на коммерческих проектах; уверенное знание SQL; знание основных паттернов проектирования; приветствуется знание Git. Условия: работа в крупной компании с развитой филиальной сетью; конкурентный уровень заработной платы (обсуждается индивидуально с каждым успешным кандидатом); работа в команде молодых и амбициозных специалистов; развитая корпоративная культура; внутреннее и внешнее обучение за счёт компании (тренинги, курсы, семинары, профессиональная литература); доставка сотрудников корпоративным транспортом; профессиональное развитие, возможность карьерного роста до руководителя проектов; место работы: Курчатовский район. Возможно Вы – тот‚ кого мы ищем! Высылайте нам свое резюме и мы рассмотрим его в течение 3 рабочих дней. Если Ваш опыт и пожелания соответствуют требованиям и возможностям компании - мы свяжемся с Вами по указанным в резюме контактам. "," , , , , , , , , , , , ",1–3 года,Программист Python,,90000.0,60000.0,полный день,"Python,Git,MySQL,Ubuntu,Flask",Полная занятость,https://tyumen.hh.ru/vacancy/37317309
