,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url
93,Сим,"МАГНИТ, Розничная сеть",,22 сентября 2020," Обязанности: техническая поддержка пользователей, диагностика неисправностей и настройка оборудования; техническое обслуживание информационных систем; организация ремонта неисправного оборудование, приобретение нового оборудования; краткосрочные командировки на объекты города и области; обеспечение безопасности информационных систем. Требования: уверенный пользователь ПК; образование техническое, не ниже среднего профессионального; опыт администрирования сетей под управлением MS Windows (установка, настройка, администрирование); опыт администрирования MS Windows Server 2000 и 2003; опыт настройки почтовых и офисных программ; опыт монтажа локально-вычислительных сетей; приветствуется знание Linux; умение консультировать в телефонном режиме; Условия: график работы 5/2, 09:00 до 18:00; официальная заработная плата; интересная работа в команде профессионалов; новейшие технологии работы; корпоративный телефон; возможность участия в корпоративных пенсионных программах. Благодарим Вас за интерес, проявленный к нашей Компании. Стандартный срок рассмотрения резюме - 14 дней Отсутствие ответа в течение двух недель означает, что, к сожалению, на сегодня у нас нет подходящих вакансий. При этом Ваше резюме будет сохранено в нашей базе данных и если подходящая вакансия появится в последующем, мы предложим ее Вам для рассмотрения. Если Ваш опыт работы и пожелания соответствуют требованиям и возможностям Компании - мы свяжемся с Вами по указанным контактам в течении двух недель. ",,1–3 года,Системотехник,,49200.0,45000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39380313
688,Аша,"МАГНИТ, Розничная сеть",,22 сентября 2020," Обязанности: техническая поддержка пользователей, диагностика неисправностей и настройка оборудования; техническое обслуживание информационных систем; организация ремонта неисправного оборудование, приобретение нового оборудования; краткосрочные командировки на объекты города и области; обеспечение безопасности информационных систем. Требования: уверенный пользователь ПК; образование техническое, не ниже среднего профессионального; опыт администрирования сетей под управлением MS Windows (установка, настройка, администрирование); опыт администрирования MS Windows Server 2000 и 2003; опыт настройки почтовых и офисных программ; опыт монтажа локально-вычислительных сетей; приветствуется знание Linux; умение консультировать в телефонном режиме; Условия: график работы 5/2, 09:00 до 18:00; официальная заработная плата; интересная работа в команде профессионалов; новейшие технологии работы; корпоративный телефон; возможность участия в корпоративных пенсионных программах. Благодарим Вас за интерес, проявленный к нашей Компании. Стандартный срок рассмотрения резюме - 14 дней Отсутствие ответа в течение двух недель означает, что, к сожалению, на сегодня у нас нет подходящих вакансий. При этом Ваше резюме будет сохранено в нашей базе данных и если подходящая вакансия появится в последующем, мы предложим ее Вам для рассмотрения. Если Ваш опыт работы и пожелания соответствуют требованиям и возможностям Компании - мы свяжемся с Вами по указанным контактам в течении двух недель. ",,1–3 года,Системотехник,,49200.0,45000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39380312
303,Троицк (Челябинская область),Билайн ШПД,,12 октября 2020," В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам. Что мы предлагаем: Работа в компании, большинство продуктов которой не имеет аналогов на рынке Постоянное развитие, участие в интересных проектах и расширение твоей экспертизы Дружная команда, где каждый может высказывать свое мнение и быть услышанным Открытая конструктивная атмосфера Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам! Можно выбрать удобные 4 или 8 часов в диапазоне с 10:00 до 21:00 и любые дни недели. Достойную и своевременную оплату труда – Возможность влиять на уровень заработной платы – Зарплата складывается из оклада + % от каждой продажи! (Потолка у нас нет); Официальное трудоустройство; Возможность развиваться и повышать свой профессиональный уровень посредством участия в тренингах Компании. Корпоративное обучение – нам важно, чтобы ты развивался и рос вместе с нами; Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Компьютер или ноутбук,наушники с микрофоном,стабильный интернет и тихое помещение; Отличное знание ПК; Коммуникабельность, ведь каждый день ты будешь общаться с большим количеством людей; Ответственность и обучаемость,ведь сфера продаж-это постоянное развитие; Владение грамотной речью и умение расположить к себе любого собеседника. Итак, тебе предстоит: Осуществление исходящего обзвона по ""теплой"" базе клиентов с целью выяснения и анализа потребностей клиента. Продажа проводного интернета, цифрового телевидения и мобильной связи используя телефонные звонки. Консультация физических лиц по продуктам Компании. Проведение телефонных переговоров с клиентами Выяснение и анализ потребностей клиента, Подготовка предложений Информационная поддержка клиентов ​​​​​​ ",,не требуется,Оператор call-центра,,50000.0,15000.0,удаленная работа,"Холодные продажи,работа с VIP клиентами,Телефонные переговоры,Грамотная речь,Обучение и развитие",Частичная занятость,https://tyumen.hh.ru/vacancy/39460174
312,Копейск,Билайн ШПД,,25 сентября 2020," В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам. Что мы предлагаем: Работа в компании, большинство продуктов которой не имеет аналогов на рынке Постоянное развитие, участие в интересных проектах и расширение твоей экспертизы Дружная команда, где каждый может высказывать свое мнение и быть услышанным Открытая конструктивная атмосфера Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам! Можно выбрать удобные 4 или 8 часов в диапазоне с 10:00 до 21:00 и любые дни недели. Достойную и своевременную оплату труда – Возможность влиять на уровень заработной платы – Зарплата складывается из оклада + % от каждой продажи! (Потолка у нас нет); Официальное трудоустройство; Возможность развиваться и повышать свой профессиональный уровень посредством участия в тренингах Компании. Корпоративное обучение – нам важно, чтобы ты развивался и рос вместе с нами; Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Компьютер или ноутбук,наушники с микрофоном,стабильный интернет и тихое помещение; Отличное знание ПК; Коммуникабельность, ведь каждый день ты будешь общаться с большим количеством людей; Ответственность и обучаемость,ведь сфера продаж-это постоянное развитие; Владение грамотной речью и умение расположить к себе любого собеседника. Итак, тебе предстоит: Осуществление исходящего обзвона по ""теплой"" базе клиентов с целью выяснения и анализа потребностей клиента. Продажа проводного интернета, цифрового телевидения и мобильной связи используя телефонные звонки. Консультация физических лиц по продуктам Компании. Проведение телефонных переговоров с клиентами Выяснение и анализ потребностей клиента, Подготовка предложений Информационная поддержка клиентов #яработаювбилайн #хочувбилайн #followbeeline ",,не требуется,Оператор call-центра,,50000.0,15000.0,удаленная работа,"Холодные продажи,работа с VIP клиентами,Телефонные переговоры,Грамотная речь,Обучение и развитие",Частичная занятость,https://tyumen.hh.ru/vacancy/39459795
335,Златоуст,Билайн ШПД,,25 сентября 2020," В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам. Что мы предлагаем: Работа в компании, большинство продуктов которой не имеет аналогов на рынке Постоянное развитие, участие в интересных проектах и расширение твоей экспертизы Дружная команда, где каждый может высказывать свое мнение и быть услышанным Открытая конструктивная атмосфера Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам! Можно выбрать удобные 4 или 8 часов в диапазоне с 10:00 до 21:00 и любые дни недели. Достойную и своевременную оплату труда – Возможность влиять на уровень заработной платы – Зарплата складывается из оклада + % от каждой продажи! (Потолка у нас нет); Официальное трудоустройство; Возможность развиваться и повышать свой профессиональный уровень посредством участия в тренингах Компании. Корпоративное обучение – нам важно, чтобы ты развивался и рос вместе с нами; Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Компьютер или ноутбук,наушники с микрофоном,стабильный интернет и тихое помещение; Отличное знание ПК; Коммуникабельность, ведь каждый день ты будешь общаться с большим количеством людей; Ответственность и обучаемость,ведь сфера продаж-это постоянное развитие; Владение грамотной речью и умение расположить к себе любого собеседника. Итак, тебе предстоит: Осуществление исходящего обзвона по ""теплой"" базе клиентов с целью выяснения и анализа потребностей клиента. Продажа проводного интернета, цифрового телевидения и мобильной связи используя телефонные звонки. Консультация физических лиц по продуктам Компании. Проведение телефонных переговоров с клиентами Выяснение и анализ потребностей клиента, Подготовка предложений Информационная поддержка клиентов #яработаювбилайн #хочувбилайн #followbeeline ",,не требуется,Оператор call-центра,,50000.0,15000.0,удаленная работа,"Холодные продажи,работа с VIP клиентами,Телефонные переговоры,Грамотная речь,Обучение и развитие",Частичная занятость,https://tyumen.hh.ru/vacancy/39459769
362,Златоуст,Билайн ШПД,,12 октября 2020," В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам. Что мы предлагаем: Работа в компании, большинство продуктов которой не имеет аналогов на рынке Постоянное развитие, участие в интересных проектах и расширение твоей экспертизы Дружная команда, где каждый может высказывать свое мнение и быть услышанным Открытая конструктивная атмосфера Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам! Можно выбрать удобные 4 или 8 часов в диапазоне с 10:00 до 21:00 и любые дни недели. Достойную и своевременную оплату труда – Возможность влиять на уровень заработной платы – Зарплата складывается из оклада + % от каждой продажи! (Потолка у нас нет); Официальное трудоустройство; Возможность развиваться и повышать свой профессиональный уровень посредством участия в тренингах Компании. Корпоративное обучение – нам важно, чтобы ты развивался и рос вместе с нами; Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Компьютер или ноутбук,наушники с микрофоном,стабильный интернет и тихое помещение; Отличное знание ПК; Коммуникабельность, ведь каждый день ты будешь общаться с большим количеством людей; Ответственность и обучаемость,ведь сфера продаж-это постоянное развитие; Владение грамотной речью и умение расположить к себе любого собеседника. Итак, тебе предстоит: Осуществление исходящего обзвона по ""теплой"" базе клиентов с целью выяснения и анализа потребностей клиента. Продажа проводного интернета, цифрового телевидения и мобильной связи используя телефонные звонки. Консультация физических лиц по продуктам Компании. Проведение телефонных переговоров с клиентами Выяснение и анализ потребностей клиента, Подготовка предложений Информационная поддержка клиентов #яработаювбилайн #хочувбилайн #followbeeline ",,не требуется,Оператор call-центра,,50000.0,15000.0,удаленная работа,"Холодные продажи,работа с VIP клиентами,Телефонные переговоры,Грамотная речь,Обучение и развитие",Частичная занятость,https://tyumen.hh.ru/vacancy/39459826
391,Копейск,Билайн ШПД,,12 октября 2020," В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам. Что мы предлагаем: Работа в компании, большинство продуктов которой не имеет аналогов на рынке Постоянное развитие, участие в интересных проектах и расширение твоей экспертизы Дружная команда, где каждый может высказывать свое мнение и быть услышанным Открытая конструктивная атмосфера Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам! Можно выбрать удобные 4 или 8 часов в диапазоне с 10:00 до 21:00 и любые дни недели. Достойную и своевременную оплату труда – Возможность влиять на уровень заработной платы – Зарплата складывается из оклада + % от каждой продажи! (Потолка у нас нет); Официальное трудоустройство; Возможность развиваться и повышать свой профессиональный уровень посредством участия в тренингах Компании. Корпоративное обучение – нам важно, чтобы ты развивался и рос вместе с нами; Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Компьютер или ноутбук,наушники с микрофоном,стабильный интернет и тихое помещение; Отличное знание ПК; Коммуникабельность, ведь каждый день ты будешь общаться с большим количеством людей; Ответственность и обучаемость,ведь сфера продаж-это постоянное развитие; Владение грамотной речью и умение расположить к себе любого собеседника. Итак, тебе предстоит: Осуществление исходящего обзвона по ""теплой"" базе клиентов с целью выяснения и анализа потребностей клиента. Продажа проводного интернета, цифрового телевидения и мобильной связи используя телефонные звонки. Консультация физических лиц по продуктам Компании. Проведение телефонных переговоров с клиентами Выяснение и анализ потребностей клиента, Подготовка предложений Информационная поддержка клиентов #яработаювбилайн #хочувбилайн #followbeeline ",,не требуется,Оператор call-центра,,50000.0,15000.0,удаленная работа,"Холодные продажи,работа с VIP клиентами,Телефонные переговоры,Грамотная речь,Обучение и развитие",Частичная занятость,https://tyumen.hh.ru/vacancy/39459852
428,Озерск (Челябинская область),Билайн ШПД,,12 октября 2020," В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам. Что мы предлагаем: Работа в компании, большинство продуктов которой не имеет аналогов на рынке Постоянное развитие, участие в интересных проектах и расширение твоей экспертизы Дружная команда, где каждый может высказывать свое мнение и быть услышанным Открытая конструктивная атмосфера Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам! Можно выбрать удобные 4 или 8 часов в диапазоне с 10:00 до 21:00 и любые дни недели. Достойную и своевременную оплату труда – Возможность влиять на уровень заработной платы – Зарплата складывается из оклада + % от каждой продажи! (Потолка у нас нет); Официальное трудоустройство; Возможность развиваться и повышать свой профессиональный уровень посредством участия в тренингах Компании. Корпоративное обучение – нам важно, чтобы ты развивался и рос вместе с нами; Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Компьютер или ноутбук,наушники с микрофоном,стабильный интернет и тихое помещение; Отличное знание ПК; Коммуникабельность, ведь каждый день ты будешь общаться с большим количеством людей; Ответственность и обучаемость,ведь сфера продаж-это постоянное развитие; Владение грамотной речью и умение расположить к себе любого собеседника. Итак, тебе предстоит: Осуществление исходящего обзвона по ""теплой"" базе клиентов с целью выяснения и анализа потребностей клиента. Продажа проводного интернета, цифрового телевидения и мобильной связи используя телефонные звонки. Консультация физических лиц по продуктам Компании. Проведение телефонных переговоров с клиентами Выяснение и анализ потребностей клиента, Подготовка предложений Информационная поддержка клиентов ​​​​​​ ",,не требуется,Оператор call-центра,,50000.0,15000.0,удаленная работа,"Холодные продажи,работа с VIP клиентами,Телефонные переговоры,Грамотная речь,Обучение и развитие",Частичная занятость,https://tyumen.hh.ru/vacancy/39460166
4,Челябинск,UNIT6,"Просторный двухуровневый офис с отдельной кухонной зоной,Возможность работать над проектами мирового уровня,Возможность создать свой стартап на базе нашей компании,Поощрение инициативности,Кухня с кофемашиной и печенками,Новые книги в нашей библиотеке,Полный рабочий день,Стабильная зарплата,Ежегодный отпуск,Официальное трудоустройство,Перспективы карьерного и зарплатного роста",8 октября 2020," Мы не делаем веб-сайты, мы делаем интернет-продукты — интернет-банки, онлайн-сервисы для пользователей крупных компаний, сложные (но удобные) интерфейсы, и много другого интересного в проектах Федерального и Мирового масштаба. Мы почти никогда не делаем разовые проекты, все наши проекты живут и развиваются, учитывают опыт своих пользователей, следят за новыми тенденциями в дизайне и проектировании. Обязанности : Проводить ручное функциональное тестирование web-интерфейса и/или мобильных приложений Сверять внешний вид на соответствие макету (часто от нас требуется пиксел-перфект) Не допускать появление ошибок у пользователя, как в новых, так и в старых частях Писать и поддерживать в актуальном состоянии тест-кейсы, тест-планы, чек-листы Локализовывать и документировать дефекты Участвовать в процессе улучшения работы QA Требования : Опыт работы тестировщиком или в аналогичной позиции, связанной с проверкой работы разработчиков Умение находить ошибки программистов Способность самостоятельно и быстро решать нестандартные задачи Оконченное высшее образование Понимание процесса разработки ПО Понимание процесса тестирования и его роли в обеспечении качества Опыт работы с тестовой документацией Самостоятельность, внимательность, ответственность, умение работать в команде Условия : Просторный двухуровневый офис с отдельной кухонной зоной Возможность работать над проектами мирового уровня Возможность создать свой стартап на базе нашей компании Поощрение инициативности Кухня с кофемашиной и печенками Новые книги в нашей библиотеке Полный рабочий день Стабильная зарплата Ежегодный отпуск Официальное трудоустройство Перспективы карьерного и зарплатного роста А еще у нас хороший и дружный коллектив, уютный офис с кофемашиной, печенками, фруктами и гироскутером. Мы проводим митапы разработчиков в Челябинске и организуем крупнейшую Челябинскую конференцию разработчиков UWDC. Полностью удаленных сотрудников сейчас не рассматриваем, у вас как минимум должна быть возможность появляться в офисе по необходимости. "," , , , , , , , , , , , ",1–3 года,Тестировщик веб-сервисов," , , , , , , , , , , , , , , , ",50000.0,20000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38993070
613,Челябинск,UNIT6,,8 октября 2020," Мы не делаем веб-сайты, мы делаем интернет-продукты — интернет-банки, онлайн-сервисы для пользователей крупных компаний, сложные (но удобные) интерфейсы, и много другого интересного в проектах Федерального и Мирового уровня. Мы почти никогда не делаем разовые проекты, все наши проекты живут и развиваются, учитывают опыт своих пользователей, следят за новыми тенденциями в дизайне и проектировании. Готовы рассматривать кандидатов как с опытом работы менеджером проектов, так и желающих стать хорошим менеджером проекта, но с опытом работы в смежных IT-специальностях (тестировщик, аналитик, и т.п.). Вашими будущими задачами будут : Планирование работы над проектом Постановка задач Приоритизация поставленных задач Организация работ над проектом Организация коммуникации по проекту Ведение документации по проекту Контроль сроков выполнения Составление отчетов о проделанной работе Мы ожидаем, что Вы : Имеете опыт работы на аналогичной или смежной должности в IT-компании (веб-студии, ИТ-разработчики) и законченное высшее образование Самоорганизованны Позитивно настроены Проактивны Имеете профессиональную мотивацию Коммуникабельны Умеете сформулировать и донести свою мысль В том числе готовы рассматривать кандидатов с опытом работы аналитиком или тестировщиком в ИТ-компании. Работая у нас, вы получаете : Просторный двухуровневый офис с отдельной кухонной зоной Возможность работать над проектами мирового уровня Возможность создать свой стартап на базе нашей компании Поощрение инициативности Кухня с кофемашиной и печенками Новые книги в нашей библиотеке Полный рабочий день Стабильная зарплата Ежегодный отпуск Официальное трудоустройство Перспективы карьерного и зарплатного роста А еще у нас хороший и дружный коллектив, уютный офис с кофемашиной, печенками, фруктами и гироскутером. Мы проводим митапы разработчиков в Челябинске и организуем крупнейшую Челябинскую конференцию разработчиков UWDC. Полностью удаленных сотрудников сейчас не рассматриваем, у вас как минимум должна быть возможность появляться в офисе по необходимости. ",,1–3 года,Менеджер проектов,,50000.0,20000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38921534
